Type,Roll Speed [rpm],Rolling Torque [Nm],Roll Wear [min],Ambient Temp [K],Mill Process Temp [K],TWF,HDF,PWF,OSF,RNF,Power [W],Temp Diff [K],Probability
H,1405.013552413305,70.55498017874463,37.28196589752777,305.89755237216673,309.4258645211977,0,1,1,0,0,10380.942978749823,3.528312149030967,0.9974027292992242
H,2372.902192982367,77.03689843241591,73.28063415425885,307.6341331893864,302.0503996886272,0,1,1,0,0,19142.87859779627,-5.583733500759195,0.9998429515278116
L,2448.8533906549546,61.16482905966245,173.0773487616443,304.73716727728305,305.79655745898646,0,0,1,0,0,15685.312283504412,1.0593901817034066,0.9947058404053175
H,1268.4346477842896,69.02581699352491,30.720664911220837,303.33678851853716,306.59845320994924,0,1,1,0,0,9168.710708914949,3.2616646914120793,0.9969561154321125
H,2015.036260497463,69.77223687295441,218.82195884908896,306.88159826431234,301.0208807615017,0,1,1,1,0,14722.92603083474,-5.860717502810644,0.9954988277726952
M,1205.6922353364694,32.35452714689859,140.0890974744674,305.28207611177055,302.8310239069925,0,1,0,0,0,4085.075985405689,-2.4510522047780228,0.9784769116966788
H,1024.584865505648,32.29743646559112,229.29438153458423,303.4186259131952,306.87951907924196,0,1,0,0,0,3465.3300691775166,3.4608931660467306,0.9848288769131734
M,1270.7398023595078,35.09141844640052,254.03143943835403,297.4683527232222,301.0449126465993,1,1,0,0,0,4669.669827695992,3.57655992337709,0.9594462720183107
M,2708.8536035767156,61.91416813488536,7.754272195289347,304.83770173091386,305.8690266974205,0,0,1,0,0,17563.222166443607,1.031324966506645,0.9718637167130355
L,1187.7457988640363,37.63416291679087,11.678896041258056,306.5696345669087,305.15164195971397,0,1,0,0,0,4680.95408891087,-1.4179926071947193,0.975818783920148
M,2194.0429484921524,71.65325431029082,222.59320230759783,307.7562533908313,305.9114633131589,0,1,1,1,0,16463.02593580521,-1.8447900776724282,0.9996966449574276
M,1968.9765911040495,66.21543946448473,169.1642863627163,296.5612514457476,312.7330325861535,0,0,1,0,0,13653.010890144413,16.171781140405926,0.9932474131370219
L,2177.4490901654813,72.617260982918,215.0447196828863,304.2075227997467,300.5369726121192,0,1,1,1,0,16558.328400589493,-3.670550187627498,0.9993912746642651
H,1254.7882684920783,51.105603068193645,79.49132036569488,298.1416994321537,303.8964256985646,0,1,0,0,0,6715.333491836702,5.7547262664108985,0.990831692304803
L,2175.983677705339,75.44156425761089,109.56534917994152,298.96811239585844,301.9466803660495,0,0,1,0,0,17190.754415791198,2.9785679701910794,0.9992978301606842
L,1221.0086547760882,57.42623359899407,193.71658376942833,298.23863546633396,314.3996278685168,0,0,0,1,0,7342.732274326259,16.160992402182842,0.8175805761880706
L,2761.341509120718,79.20869442758227,58.61889779150355,307.9198883074047,301.31848153889524,0,1,1,0,0,22904.541067238755,-6.601406768509435,0.9997027299996197
H,2280.870342838595,65.43727167779578,193.46444195018645,300.4591383514192,309.3495919771089,0,0,1,0,0,15629.835239652575,8.890453625689702,0.9995757798962296
L,1995.1130256516817,61.027823938665314,204.68767940953617,298.1577657159388,301.202811352449,0,0,1,1,0,12750.405789250972,3.0450456365101672,0.9566056624696786
H,1073.6268873157953,58.349686374672245,150.82639828511526,303.7895169232464,306.3819773377575,0,1,0,0,0,6560.252014093465,2.5924604145110948,0.9967793217261027
L,1334.8362588284367,47.3016955726096,156.87318221436487,298.66516421074755,304.52344869595936,0,1,0,0,0,6612.007260321898,5.858284485211811,0.9905742111087814
M,1300.2174061303194,22.30971345117811,248.14087475180662,304.9080558761866,301.53953025567625,1,1,0,0,0,3037.655967142735,-3.368525620510354,0.9757840594818712
M,2773.0034897823507,69.58291249102379,132.52404201184646,296.3183375836755,307.0105497433848,0,0,1,0,0,20206.05993739262,10.6922121597093,0.9998496398508895
M,1050.5297763831898,68.93456446271999,184.52209822002052,302.1447364084656,311.17139991847574,0,1,0,1,0,7583.575600736039,9.026663510010167,0.9847199327182737
M,1372.0326252046407,72.14650029924547,58.299807872882596,300.24550170196886,307.9050542660468,0,1,1,0,0,10365.931282840764,7.659552564077956,0.9998379464838163
M,1087.2874484400568,51.85033197630952,203.93802490800627,308.5402927277606,312.27719710460843,0,1,0,0,0,5903.703445635374,3.7369043768478605,0.9930325864235189
M,2639.435824750334,67.27810258615199,4.051474357655125,307.4471561990365,302.2997815014221,0,1,1,0,0,18595.739759146316,-5.147374697614396,0.9987105669129043
L,1105.4437678205356,35.02100802571127,143.57215891412582,301.68742865791904,307.3552896848512,0,1,0,0,0,4054.0949501499654,5.667861026932144,0.9781478976653394
H,1135.6848942825184,69.59213515611057,253.76528206707263,309.09634147851483,305.871328984135,1,1,0,1,0,8276.49826873718,-3.2250124943798255,0.9989137188469711
H,1183.783067813973,38.44531530785849,275.7326043977751,301.9114493898709,309.09564984442915,1,1,0,0,0,4765.8916958608515,7.184200454558265,0.9276611709347793
L,1201.160231575045,24.51811847467671,176.14916291519893,295.2264088258355,300.97088326222394,0,1,0,0,0,3084.0165661524215,5.74447443638843,0.9931614506583806
L,1900.379224928029,45.20519849282918,258.1904591800834,309.6338946030136,312.29135662738514,0,1,1,0,0,8996.162105263476,2.6574620243715685,0.7007667264447164
H,1440.027543116652,77.5955563360034,160.13749402625405,296.2606551875167,306.98824887565615,0,0,1,1,0,11701.358036864607,10.72759368813945,0.9994857668732335
M,1622.704416040268,76.66812211100185,176.88223011433755,297.0627897229741,301.914222564818,0,1,1,1,0,13028.153351919835,4.8514328418438595,0.9996330567257425
H,1715.5354393199113,75.62350838679029,116.53353155771548,302.25563383022353,314.40973613228846,0,0,1,0,0,13585.797395805357,12.154102302064928,0.9998721690312458
H,2528.6046320956966,20.956968329332067,238.3468545346569,295.07447176478854,300.51026663532406,0,0,1,0,0,5549.297450099158,5.435794870535517,0.7998982275678004
H,2713.303801350946,52.155739029879875,223.33417521921555,302.08873571786904,310.66665787179386,0,0,1,0,0,14819.34964578629,8.577922153924817,0.5659319374378944
M,2635.5207062005247,67.36458103645077,119.07438616174625,301.73630769018763,308.4501088599602,0,0,1,0,0,18592.023673808446,6.71380116977258,0.9998831116948972
M,1703.6342920314437,64.23323974558957,128.913002925986,307.5224225529656,305.97271784705214,0,1,1,0,0,11459.477558260018,-1.5497047059134843,0.9808016676008243
M,1351.058998509644,40.524531907567535,60.84997763554706,302.9451892668936,300.55491739424605,0,1,0,0,0,5733.514820051521,-2.3902718726475314,0.9646258399355452
M,1271.8725218490054,31.7202092831942,177.4726756662653,308.2394716468293,305.96106825305515,0,1,0,0,0,4224.820353343761,-2.2784033937741697,0.9751594620780937
M,1920.284995846788,67.04813455002702,42.70354897520402,303.07200475932046,303.30285025456516,0,1,1,0,0,13482.828355258076,0.23084549524469367,0.9917625757074
M,2509.2599224386004,31.75683004785887,252.74116818932458,303.77802068080985,305.57421952609735,1,0,1,0,0,8344.71316177047,1.7961988452875062,0.5446707868927019
M,1683.6613158206542,64.29192611665606,161.8299453002711,298.1727171084541,305.9375915808659,0,0,1,0,0,11335.476697458775,7.764874472411805,0.973873816894733
H,2312.7319650463533,61.08493104826153,108.35347603501671,306.54855110442435,314.6455128092276,0,0,1,0,0,14794.081569555405,8.096961704803277,0.9981043442959471
L,1065.4416643784284,52.86036652156996,269.9055498570096,298.02565446102165,305.1739326868405,1,1,0,1,0,5897.778583171468,7.148278225818842,0.9993930470282524
L,1946.360690637906,67.3395843046398,11.131896511865653,307.1665938203097,310.624765610985,0,1,1,0,0,13725.316691208125,3.4581717906752942,0.9964409866613448
L,1313.4538862557827,74.38871624127118,143.5775154400911,302.0329327133776,303.77097383858364,0,1,1,1,0,10231.763938392749,1.7380411252060526,0.9996948384392221
M,2527.5990527818967,78.3031491925548,130.0483501381108,303.5405568996446,306.53234430751326,0,0,1,0,0,20726.02562467104,2.991787407868628,0.9999489943394434
L,1324.8364235632089,37.73987838476408,168.06259336727118,303.09227045361666,305.23246144111107,0,1,0,0,0,5235.900367868981,2.1401909874944067,0.9831402730631091
L,2129.087079981176,78.26302040923994,73.83591972985991,296.5128387669531,312.1202881571104,0,0,1,0,0,17449.325623249744,15.607449390157285,0.9996502503584366
M,2172.7833573671387,60.925295361457685,58.27656944103792,299.63535452864875,310.6677003050836,0,0,1,0,0,13862.536011801032,11.032345776434852,0.790939459221091
H,1295.4500157582784,49.039246805814074,181.0404031170607,296.295087258182,304.7426217708764,0,0,0,0,0,6652.625403188099,8.447534512694403,0.9913416392972485
L,1842.862208287223,78.18036059997809,1.1191921245806657,302.6916099702502,305.6585259311415,0,1,1,0,0,15087.56489965237,2.966915960891299,0.9982177702144337
H,1678.3535954781782,77.01947395032846,17.614308768860116,308.41359104514083,304.58374301734136,0,1,1,0,0,13536.69454800137,-3.8298480277994713,0.9982017837072497
M,2072.3875968640896,50.48973809868602,240.7992806953278,305.64283480379055,308.42194270359397,0,0,1,0,0,10957.279006640487,2.779107899803421,0.5665302305113971
M,1046.8417396736268,71.68516591762301,234.35339893335336,295.038685414746,313.6736362433892,0,0,0,1,0,7858.487075565052,18.634950828643184,0.9996344946529621
L,1367.8336761119426,51.07100843589515,276.87431429093255,307.06793008413297,309.86618281223537,1,1,0,1,0,7315.370780041223,2.7982527281023977,0.9987923313986854
M,2177.3656712536713,76.60799747597434,268.9628762536948,307.96743382345267,306.4459917649111,1,1,1,1,0,17467.634642400306,-1.5214420585415382,0.9999439101904002
H,1452.0742673984764,60.395865692831855,132.22962299865333,307.1361259723482,301.528649740256,0,1,1,0,0,9183.847380220168,-5.6074762320922105,0.5174049046082525
M,2719.279078924097,62.97097793351668,161.97632645190464,306.5333652716353,309.31927277212395,0,0,1,0,0,17931.7566839182,2.7859075004886336,0.9993653213980958
L,2122.6630676232808,74.63917767931218,89.10629501903037,298.9197497658131,309.37019624828133,0,0,1,0,0,16591.15144648371,10.450446482468237,0.9998819187138234
M,1422.3130119096063,79.01600141509732,262.160549137,296.85645165672645,310.64276361373544,0,0,1,1,0,11768.980673639306,13.78631195700899,0.9998940312101139
H,2596.3212974249373,45.982584976086414,268.6365742646121,297.84161928309885,311.4808854781413,0,0,1,0,0,12502.0270985376,13.639266195042467,0.8891719182085118
H,1804.4555065338313,72.31961827997283,257.29593188114217,299.4962223474722,305.43457308374445,0,0,1,1,0,13665.66974510839,5.938350736272241,0.9998494088401781
M,1618.5882980841616,78.33351494403499,121.80803767271105,302.02711447270724,313.1912387857511,0,0,1,0,0,13277.387449517042,11.164124313043885,0.9999279581400694
M,1994.679286429745,79.28754956888751,45.836097831206615,309.4649876979429,305.82956738593475,0,1,1,0,0,16561.76780986675,-3.6354203120081365,0.9993800684882989
M,2768.1630297836937,66.71292190864457,80.59003118134127,309.75013730034027,314.10656979078317,0,0,1,0,0,19338.832172885304,4.356432490442899,0.9998882416229349
H,1255.5886583579645,48.55860297879135,110.34778763392843,308.43449483743535,305.00885668313873,0,1,0,0,0,6384.724845426688,-3.425638154296621,0.995768939169458
H,1079.286847180803,21.098783676437534,188.4599654237929,302.8072191371351,308.29713465237904,0,1,0,0,0,2384.640534470008,5.489915515243922,0.9742494665402391
L,1369.8861764019264,23.060357366482997,245.60061762488675,297.671827764007,314.51323804258436,0,0,0,0,0,3308.1038478955093,16.84141027857737,0.833010981339377
M,2718.207414680072,22.504285505407193,237.57716638860958,307.8738757253631,310.0014688787505,0,0,1,0,0,6405.8452028468755,2.1275931533873518,0.5544437857831569
M,1440.8482881634093,66.56391889345173,50.73215150551283,304.4464656152676,302.8047092625201,0,1,1,0,0,10043.515533549467,-1.6417563527475068,0.945861715765034
H,1789.0039615537657,63.76046372350256,193.30323765303075,305.5144858666268,310.31231493047125,0,1,1,0,0,11945.143934988044,4.7978290638444605,0.9829369337853343
H,2717.197645023809,78.29836346265434,131.48350902921243,296.69123284134344,312.0596121540574,0,0,1,0,0,22279.3508301635,15.368379312713955,0.9997714665253808
M,1628.0897808258017,62.741321085417766,182.19330905865976,298.32879808178916,303.70746940886437,0,1,1,0,0,10696.966292746452,5.37867132707521,0.9793697650467653
M,1269.0020579102809,23.738441078053555,68.33486083816891,309.6985305567147,307.57911629985455,0,1,0,0,0,3154.5915774917075,-2.119414256860125,0.9243234030757006
H,2411.61753798335,33.15658380364847,256.336297995928,302.22658983890636,305.2029979527028,1,0,1,0,0,8373.496234455022,2.976408113796424,0.5141310366493184
H,2184.5706920780663,74.7947232097682,85.42817310666952,307.8182772399032,309.19890917912056,0,1,1,0,0,17110.617392910375,1.3806319392173805,0.9994116443431261
L,1316.9438280652716,35.35399467974034,249.9927472182348,306.08747027236075,303.84512573624664,1,1,0,0,0,4875.670650083988,-2.2423445361141034,0.9810009498168136
M,2596.39333214092,61.7733133567286,88.78326478166771,296.5407112958429,314.95820644813944,0,0,1,0,0,16795.773119767797,18.41749515229651,0.961382576565134
M,2154.1203204414614,72.37715323389737,66.20493885545164,297.04549623714587,302.5165949567152,0,0,1,0,0,16326.762408171278,5.471098719569341,0.9993809968062476
L,1211.9773484644802,75.94207175501751,3.981599298361669,297.1590656880717,303.72822628814873,0,1,1,0,0,9638.413671449913,6.569160600077055,0.997822068251096
M,2571.579457277052,64.18525284515039,55.939770199204666,302.66507314496243,308.6284831086783,0,0,1,0,0,17284.778642975056,5.96340996371589,0.9897151474555754
M,2311.214467868681,52.46001160001501,235.84107992395616,295.58473475286746,306.2178690801732,0,0,1,0,0,12696.886802997005,10.633134327305754,0.9105062983086619
L,1529.6387514725957,72.44246562077947,270.2893445345884,302.6662122848534,313.50484856748153,0,0,1,1,0,11604.08011977191,10.838636282628158,0.9999576926981442
L,1053.1680808553128,74.70428170547729,102.00687423173721,299.2490999439031,302.66049240936565,0,1,0,0,0,8238.948732075605,3.4113924654625407,0.9983592802065367
L,2118.204979269096,65.44938784756206,261.7247898640079,299.6040981384337,312.27040939723753,0,0,1,1,0,14517.846208602401,12.66631125880383,0.9998671737406375
L,1019.0885386901139,77.22916505137847,74.77044359045648,305.4997828795386,313.1353361498445,0,1,0,0,0,8241.796267576385,7.635553270305877,0.9988109937305953
H,1490.3805560953335,69.96077158543719,76.4162114656577,301.4969242667959,310.3715189349566,0,0,1,0,0,10918.937612487318,8.87459466816074,0.9986881555690287
L,2134.324015363083,71.0954384754031,92.93795066863191,308.81664703116945,304.72918199296504,0,1,1,0,0,15890.249125889752,-4.087465038204414,0.9990551745075749
M,2637.2788688455225,21.70305778904701,233.33787753661454,298.36605890367656,303.7297448261746,0,0,1,0,0,5993.846267505758,5.363685922498064,0.8813094982468448
H,2136.4939937970667,57.73714298865891,271.4919608941422,295.8784518300657,306.15120424865063,1,0,1,1,0,12917.711593689713,10.2727524185849,0.9802988385394911
H,2571.916852374007,66.62616753966755,171.8819447240171,295.8741998396126,310.15201473232725,0,0,1,0,0,17944.459214337672,14.277814892714673,0.9980582662355375
H,2162.611328034995,60.01508615616629,168.65525949987608,298.8107778615478,306.53403711783017,0,0,1,0,0,13591.504255005731,7.723259256282347,0.9067488087416535
M,2228.4214533957684,62.782851532746,21.143406116511958,301.4111529688759,307.041614737429,0,0,1,0,0,14650.99046909601,5.630461768553062,0.937547569147685
H,1149.1735634326271,71.15615180448623,190.43798457326608,303.61666696054453,300.7174819277899,0,1,0,1,0,8563.014856336185,-2.8991850327546445,0.9993861532503123
H,2738.784359017922,65.0814433847001,230.02973313787922,295.94932945890446,306.1693060113102,0,0,1,1,0,18665.672137016158,10.21997655240574,0.9984208873985674
L,2196.693350974284,79.301755591626,216.3259783291038,308.06243193289987,301.7616387987477,0,1,1,1,0,18242.353001474097,-6.300793134152173,0.9994492816372604
H,1665.8619439963536,69.74633804068154,164.860951858386,307.17163321764554,308.8844791355468,0,1,1,0,0,12167.154851105302,1.7128459179012907,0.9989305832982419
H,2706.640843901893,61.11523869105631,56.970798374814855,308.61638981538914,304.1507479844606,0,1,1,0,0,17322.427861017928,-4.465641830928519,0.9387171831701995
L,1125.3357120693693,29.655408293195475,197.52949501284448,299.46726873304436,307.54761601895854,0,1,0,0,0,3494.7380374546915,8.080347285914172,0.9976736593709689
L,2243.125041535738,69.44676853899911,160.08820394578643,304.3536295089315,305.302861938327,0,1,1,0,0,16313.011557299416,0.9492324293955221,0.9982740230083434
H,1191.4979548909782,62.723031759667506,242.09940781732573,298.53995692435404,301.5686195840249,0,1,0,1,0,7826.1643040365625,3.028662659670829,0.9981414799267628
M,1210.4383681714728,25.556795834873416,206.42345288941448,305.0182539865339,310.6639234631742,0,1,0,0,0,3239.4979011316855,5.6456694766403075,0.9832410193432954
